copy0,copy1,processsymbols,createtree,createtree_partition,assigncodeword,assigncodeword_partition,obj1,obj2
0384,1,4,2,4,1,4,1,30.533,1817
0385,1,4,2,4,1,4,2,30.754,1729
0386,1,4,2,4,1,4,4,30.109,1786
0387,1,4,2,4,2,1,1,27.766,1683
0388,1,4,2,4,2,1,2,27.577,1659
0389,1,4,2,4,2,1,4,26.917,1683
0390,1,4,2,4,2,2,1,27.093,1768
0391,1,4,2,4,2,2,2,28.518,1748
0392,1,4,2,4,2,2,4,27.586,1787
0393,1,4,2,4,2,4,1,28.215,1888
0394,1,4,2,4,2,4,2,27.494,1889
0395,1,4,2,4,2,4,4,27.550,1874
0396,1,4,2,4,4,1,1,30.294,1825
0397,1,4,2,4,4,1,2,28.686,1783
0398,1,4,2,4,4,1,4,28.963,1775
0399,1,4,2,4,4,2,1,29.360,1909
0400,1,4,2,4,4,2,2,29.769,1892
0401,1,4,2,4,4,2,4,29.149,1890
0402,1,4,2,4,4,4,1,29.465,1971
0403,1,4,2,4,4,4,2,28.972,2046
0404,1,4,2,4,4,4,4,28.862,1993
0405,1,4,4,1,1,1,1,36.115,1223
0406,1,4,4,1,1,1,2,36.624,1241
0407,1,4,4,1,1,1,4,36.577,1213
0408,1,4,4,1,1,2,1,37.717,1330
0409,1,4,4,1,1,2,2,36.319,1310
0410,1,4,4,1,1,2,4,36.538,1297
0411,1,4,4,1,1,4,1,36.831,1460
0412,1,4,4,1,1,4,2,36.420,1431
0413,1,4,4,1,1,4,4,35.818,1429
0414,1,4,4,1,2,1,1,34.380,1274
0415,1,4,4,1,2,1,2,35.909,1311
0416,1,4,4,1,2,1,4,35.634,1269
0417,1,4,4,1,2,2,1,35.279,1398
0418,1,4,4,1,2,2,2,35.920,1359
0419,1,4,4,1,2,2,4,35.426,1310
0420,1,4,4,1,2,4,1,34.650,1477
0421,1,4,4,1,2,4,2,36.799,1491
0422,1,4,4,1,2,4,4,34.478,1504
0423,1,4,4,1,4,1,1,34.860,1344
0424,1,4,4,1,4,1,2,34.345,1347
0425,1,4,4,1,4,1,4,34.401,1306
0426,1,4,4,1,4,2,1,35.378,1449
0427,1,4,4,1,4,2,2,34.204,1380
0428,1,4,4,1,4,2,4,35.437,1477
0429,1,4,4,1,4,4,1,34.429,1574
0430,1,4,4,1,4,4,2,34.646,1572
0431,1,4,4,1,4,4,4,34.960,1569
