design,copy0,copy1,computehistogram,computehistogram_partition,resort,processsymbols,movenodes,assigncodeword,obj1,obj2
0268,1,8,4,1,2,1,1,1,27.287,1822
0269,1,8,4,1,2,1,1,2,27.555,1967
0270,1,8,4,1,2,1,2,1,27.182,1884
0271,1,8,4,1,2,1,2,2,27.576,2008
0272,1,8,4,2,1,1,1,1,28.080,1777
0273,1,8,4,2,1,1,1,2,28.522,1704
0274,1,8,4,2,1,1,2,1,28.471,1727
0275,1,8,4,2,1,1,2,2,28.934,1828
0276,1,8,4,2,2,1,1,1,27.970,1831
0277,1,8,4,2,2,1,1,2,28.508,1909
0278,1,8,4,2,2,1,2,1,29.358,1935
0279,1,8,4,2,2,1,2,2,28.907,1934
0280,1,8,4,4,1,1,1,1,28.640,1666
0281,1,8,4,4,1,1,1,2,28.582,1848
0282,1,8,4,4,1,1,2,1,28.647,1715
0283,1,8,4,4,1,1,2,2,28.182,1801
0284,1,8,4,4,2,1,1,1,29.315,1868
0285,1,8,4,4,2,1,1,2,29.187,1983
0286,1,8,4,4,2,1,2,1,28.790,1937
0287,1,8,4,4,2,1,2,2,29.865,2040
0288,2,1,1,1,1,1,1,1,35.776,796
0289,2,1,1,1,1,1,1,2,36.646,828
0290,2,1,1,1,1,1,2,1,36.288,818
0291,2,1,1,1,1,1,2,2,37.061,846
0292,2,1,1,1,1,2,1,1,35.195,837
0293,2,1,1,1,1,2,1,2,36.872,862
0294,2,1,1,1,1,2,2,1,37.145,843
0295,2,1,1,1,1,2,2,2,38.223,878
0296,2,1,1,1,2,1,1,1,36.887,902
0297,2,1,1,1,2,1,1,2,35.425,904
0298,2,1,1,1,2,1,2,1,37.878,939
0299,2,1,1,1,2,1,2,2,37.291,987
0300,2,1,1,1,2,2,1,1,34.911,958
0301,2,1,1,1,2,2,1,2,35.469,975
0302,2,1,1,1,2,2,2,1,37.137,955
0303,2,1,1,1,2,2,2,2,36.753,965
0304,2,1,1,2,1,1,1,1,36.411,802
0305,2,1,1,2,1,1,1,2,35.857,841
0306,2,1,1,2,1,1,2,1,36.976,825
0307,2,1,1,2,1,1,2,2,36.795,874
0308,2,1,1,2,1,2,1,1,36.228,802
0309,2,1,1,2,1,2,1,2,36.626,858
0310,2,1,1,2,1,2,2,1,35.739,848
0311,2,1,1,2,1,2,2,2,37.921,890
0312,2,1,1,2,2,1,1,1,35.429,924
0313,2,1,1,2,2,1,1,2,36.399,928
0314,2,1,1,2,2,1,2,1,35.970,939
0315,2,1,1,2,2,1,2,2,37.832,1001
0316,2,1,1,2,2,2,1,1,37.673,940
0317,2,1,1,2,2,2,1,2,36.134,940
0318,2,1,1,2,2,2,2,1,37.415,971
0319,2,1,1,2,2,2,2,2,37.417,1020
0320,2,1,1,4,1,1,1,1,36.262,796
0321,2,1,1,4,1,1,1,2,36.262,850
0322,2,1,1,4,1,1,2,1,36.000,842
0323,2,1,1,4,1,1,2,2,37.551,846
0324,2,1,1,4,1,2,1,1,36.739,837
0325,2,1,1,4,1,2,1,2,36.789,915
0326,2,1,1,4,1,2,2,1,36.284,847
0327,2,1,1,4,1,2,2,2,36.047,912
